pathway	pathway	pval	padj
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	0.1975	0.353433896210873
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	0.1975	0.353433896210873
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	0.1975	0.353433896210873
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	0.1975	0.353433896210873
3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	0.1975	0.353433896210873
3-PHOSPHOINOSITIDE BIOSYNTHESIS%BIOCYC%PWY-6352	3-PHOSPHOINOSITIDE BIOSYNTHESIS%BIOCYC%PWY-6352	0.100169779286927	0.227041049035836
3Q29 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4906%HOMO SAPIENS	3Q29 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4906%HOMO SAPIENS	0.158908507223114	0.307416502174724
4-HYDROXYTAMOXIFEN, DEXAMETHASONE, AND RETINOIC ACIDS REGULATION OF P27 EXPRESSION%WIKIPATHWAYS_20220510%WP3879%HOMO SAPIENS	4-HYDROXYTAMOXIFEN, DEXAMETHASONE, AND RETINOIC ACIDS REGULATION OF P27 EXPRESSION%WIKIPATHWAYS_20220510%WP3879%HOMO SAPIENS	0.00247069551366064	0.016721451724074
5HT1 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04373	5HT1 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04373	0.00136824513329157	0.0107895192452847
5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374	5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374	0.000421120509392796	0.00445199175988248
7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4932%HOMO SAPIENS	7Q11.23 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP4932%HOMO SAPIENS	0.0407374628743401	0.127763691948122
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	0.00532149563063166	0.0296257419884965
ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 80%5619084	ABC TRANSPORTER DISORDERS%REACTOME DATABASE ID RELEASE 80%5619084	0.00022407493678616	0.00267395848010364
ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 80%382556	ABC-FAMILY PROTEINS MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 80%382556	0.00186757001872606	0.0136379692964113
ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 80%9687139	ABERRANT REGULATION OF MITOTIC CELL CYCLE DUE TO RB1 DEFECTS%REACTOME DATABASE ID RELEASE 80%9687139	0.45625	0.635590333440205
ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687136.1	ABERRANT REGULATION OF MITOTIC EXIT IN CANCER DUE TO RB1 DEFECTS%REACTOME%R-HSA-9687136.1	0.589498806682578	0.746305637542817
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME DATABASE ID RELEASE 80%167242	ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME DATABASE ID RELEASE 80%167242	0.696610169491525	0.824508631555619
ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616	ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616	0.110849056603774	0.241302179831361
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	5.90747267711584e-08	2.67374674813212e-06
ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:0031532	ACTIN CYTOSKELETON REORGANIZATION%GOBP%GO:0031532	0.00914231870043278	0.0446832111961534
ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0051017	ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0051017	0.0312928076429935	0.108860888077507
ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	ACTIN FILAMENT BUNDLE ORGANIZATION%GOBP%GO:0061572	0.0316642617074629	0.109713889249542
ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	ACTIN FILAMENT ORGANIZATION%GOBP%GO:0007015	1.42300375027832e-05	0.00029725727379612
ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030041	ACTIN FILAMENT POLYMERIZATION%GOBP%GO:0030041	0.0220010686873329	0.0848975519062713
ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	ACTIN FILAMENT-BASED MOVEMENT%GOBP%GO:0030048	0.0410742496050553	0.128393967290622
ACTIN FILAMENT-BASED PROCESS%GOBP%GO:0030029	ACTIN FILAMENT-BASED PROCESS%GOBP%GO:0030029	6.88248887198926e-08	3.02064789381751e-06
ACTIN NUCLEATION%GOBP%GO:0045010	ACTIN NUCLEATION%GOBP%GO:0045010	0.967128027681661	0.989939413201736
ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154	ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154	0.0131589072072749	0.0584018915379055
ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252	ACTIN-MEDIATED CELL CONTRACTION%GOBP%GO:0070252	0.0962199312714777	0.221321123014595
ACTION POTENTIAL%GOBP%GO:0001508	ACTION POTENTIAL%GOBP%GO:0001508	0.0130812450906918	0.0582084377047644
ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS%REACTOME DATABASE ID RELEASE 80%2122948	ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS%REACTOME DATABASE ID RELEASE 80%2122948	0.11138014527845	0.241973365617433
ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2	ACTIVATION OF ANTERIOR HOX GENES IN HINDBRAIN DEVELOPMENT DURING EARLY EMBRYOGENESIS%REACTOME%R-HSA-5617472.2	0.983193277310924	0.995605166229942
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 80%176814	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 80%176814	3.54314505693666e-06	9.50306498295666e-05
ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%R-HSA-176187.2	ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS%REACTOME%R-HSA-176187.2	0.0725	0.185410535609182
ACTIVATION OF BH3-ONLY PROTEINS%REACTOME DATABASE ID RELEASE 80%114452	ACTIVATION OF BH3-ONLY PROTEINS%REACTOME DATABASE ID RELEASE 80%114452	0.0025014183370577	0.0168833855201179
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS%GOBP%GO:0006919	ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS%GOBP%GO:0006919	0.5	0.675948973242066
ACTIVATION OF GABAB RECEPTORS%REACTOME%R-HSA-991365.4	ACTIVATION OF GABAB RECEPTORS%REACTOME%R-HSA-991365.4	0.00483764463765493	0.0275269516051299
ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.3	ACTIVATION OF GENE EXPRESSION BY SREBF (SREBP)%REACTOME%R-HSA-2426168.3	0.525316455696203	0.698642468838561
ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	ACTIVATION OF GTPASE ACTIVITY%GOBP%GO:0090630	0.00930451218647143	0.0451206534042616
ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME%R-HSA-5619507.3	ACTIVATION OF HOX GENES DURING DIFFERENTIATION%REACTOME%R-HSA-5619507.3	0.983193277310924	0.995605166229942
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	0.0170377614753928	0.070352472143776
ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	ACTIVATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0002218	0.521739130434783	0.695172193112276
ACTIVATION OF KAINATE RECEPTORS UPON GLUTAMATE BINDING%REACTOME%R-HSA-451326.3	ACTIVATION OF KAINATE RECEPTORS UPON GLUTAMATE BINDING%REACTOME%R-HSA-451326.3	0.0436572031969939	0.131668201261087
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1	ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1	0.00121004052984497	0.00984729953786216
ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME%R-HSA-442755.7	ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME%R-HSA-442755.7	0.000679596330312583	0.00632111781089688
ACTIVATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0032147	ACTIVATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0032147	0.0201832949953227	0.0797965575565761
ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME%R-HSA-427389.2	ACTIVATION OF RRNA EXPRESSION BY ERCC6 (CSB) AND EHMT2 (G9A)%REACTOME%R-HSA-427389.2	0.290657439446367	0.465488627285844
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME%R-HSA-72662.3	1.36149295608507e-16	9.85947815698273e-15
ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 80%68962	ACTIVATION OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 80%68962	0.114077669902913	0.245623129696806
ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	0.00189176501115064	0.013791474787667
ACUTE VIRAL MYOCARDITIS%WIKIPATHWAYS_20220510%WP4298%HOMO SAPIENS	ACUTE VIRAL MYOCARDITIS%WIKIPATHWAYS_20220510%WP4298%HOMO SAPIENS	0.054200406494693	0.151935978206091
ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616	ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616	0.894459102902375	0.951855205023467
ACYL-COA METABOLIC PROCESS%GOBP%GO:0006637	ACYL-COA METABOLIC PROCESS%GOBP%GO:0006637	0.887931034482759	0.948159337632732
ACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0006639	ACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0006639	0.1140625	0.245623129696806
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	0.000168074953825611	0.00215115786702602
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	1.46282427892736e-05	0.00030266530913997
ADAPTIVE IMMUNE SYSTEM%REACTOME%R-HSA-1280218.5	ADAPTIVE IMMUNE SYSTEM%REACTOME%R-HSA-1280218.5	0.82529474812433	0.908949436195724
ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY (APRT)%PATHWHIZ%PW000511	0.884430176565008	0.946281486622743
ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	ADENOSINE DEAMINASE DEFICIENCY%PATHWHIZ%PW000075	0.884430176565008	0.946281486622743
ADENYLATE CYCLASE-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007189	ADENYLATE CYCLASE-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007189	0.0169723158279962	0.0703000116993743
ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007188	ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007188	6.01957632035631e-06	0.000146108875039962
ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167	ADENYLOSUCCINATE LYASE DEFICIENCY%SMPDB%SMP0000167	0.884430176565008	0.946281486622743
ADIPOGENESIS%WIKIPATHWAYS_20220510%WP236%HOMO SAPIENS	ADIPOGENESIS%WIKIPATHWAYS_20220510%WP236%HOMO SAPIENS	0.00375433976145374	0.0229718159670944
ADORA2B MEDIATED ANTI-INFLAMMATORY CYTOKINES PRODUCTION%REACTOME DATABASE ID RELEASE 80%9660821	ADORA2B MEDIATED ANTI-INFLAMMATORY CYTOKINES PRODUCTION%REACTOME DATABASE ID RELEASE 80%9660821	0.00033668888234636	0.0037801374516665
ADP METABOLIC PROCESS%GOBP%GO:0046031	ADP METABOLIC PROCESS%GOBP%GO:0046031	0.119327731092437	0.253783157903396
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	2.31370375268512e-06	6.7470085942395e-05
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	2.7290413005204e-08	1.36278801045836e-06
AEROBIC RESPIRATION%GOBP%GO:0009060	AEROBIC RESPIRATION%GOBP%GO:0009060	2.29138546083278e-07	8.50946139087044e-06
AGE/RAGE PATHWAY%WIKIPATHWAYS_20220510%WP2324%HOMO SAPIENS	AGE/RAGE PATHWAY%WIKIPATHWAYS_20220510%WP2324%HOMO SAPIENS	0.000233991669448497	0.00276275490150467
AGGREPHAGY%REACTOME%R-HSA-9646399.3	AGGREPHAGY%REACTOME%R-HSA-9646399.3	0.281553398058252	0.453596408810941
AICA-RIBOSIDURIA%PATHWHIZ%PW000082	AICA-RIBOSIDURIA%PATHWHIZ%PW000082	0.884430176565008	0.946281486622743
ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165	ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165	0.519500780031201	0.693678822752173
ALCOHOL CATABOLIC PROCESS%GOBP%GO:0046164	ALCOHOL CATABOLIC PROCESS%GOBP%GO:0046164	0.118556701030928	0.25285082092533
ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	0.157754010695187	0.305694497313902
ALK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALK1 SIGNALING EVENTS	ALK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALK1 SIGNALING EVENTS	0.0397975502994179	0.12603524493511
ALLOGRAFT REJECTION%WIKIPATHWAYS_20220510%WP2328%HOMO SAPIENS	ALLOGRAFT REJECTION%WIKIPATHWAYS_20220510%WP2328%HOMO SAPIENS	0.010910590099592	0.0511671329294198
ALPHA 6 BETA 4 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP244%HOMO SAPIENS	ALPHA 6 BETA 4 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP244%HOMO SAPIENS	0.018161202993821	0.0736792035556976
ALPHA-AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:1901607	ALPHA-AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:1901607	0.816455696202532	0.903821656050955
ALPHA-AMINO ACID CATABOLIC PROCESS%GOBP%GO:1901606	ALPHA-AMINO ACID CATABOLIC PROCESS%GOBP%GO:1901606	0.752688172043011	0.866177651797355
ALPHA-AMINO ACID METABOLIC PROCESS%GOBP%GO:1901605	ALPHA-AMINO ACID METABOLIC PROCESS%GOBP%GO:1901605	0.515068493150685	0.689667982354307
ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046631	ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046631	0.00243722517729579	0.0165206605231672
ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046632	ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046632	0.179245283018868	0.334719538308873
ALPHA-SYNUCLEIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA-SYNUCLEIN SIGNALING	ALPHA-SYNUCLEIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA-SYNUCLEIN SIGNALING	0.0031433531995508	0.0200556088870018
ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	0.0728813559322034	0.185947516025641
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	0.0533751962323391	0.150398980304483
ALSTROM SYNDROME%WIKIPATHWAYS_20220510%WP5202%HOMO SAPIENS	ALSTROM SYNDROME%WIKIPATHWAYS_20220510%WP5202%HOMO SAPIENS	0.979416809605489	0.99533478121049
ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000380	ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000380	0.529832935560859	0.701653186532134
ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	0.00275523791615799	0.0181937822883077
ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	ALZHEIMER DISEASE-PRESENILIN PATHWAY%PANTHER PATHWAY%P00004	0.924050632911392	0.969405660600129
ALZHEIMER'S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20220510%WP2059%HOMO SAPIENS	ALZHEIMER'S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20220510%WP2059%HOMO SAPIENS	0.443285528031291	0.624152307394218
ALZHEIMER'S DISEASE%WIKIPATHWAYS_20220510%WP5124%HOMO SAPIENS	ALZHEIMER'S DISEASE%WIKIPATHWAYS_20220510%WP5124%HOMO SAPIENS	0.443285528031291	0.624152307394218
AMB2 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AMB2 INTEGRIN SIGNALING	AMB2 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AMB2 INTEGRIN SIGNALING	0.971428571428571	0.991509782207457
AMEBOIDAL-TYPE CELL MIGRATION%GOBP%GO:0001667	AMEBOIDAL-TYPE CELL MIGRATION%GOBP%GO:0001667	0.192789968652038	0.35090631730079
AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604	AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604	3.00378721974693e-29	2.61029109396008e-27
AMIDE TRANSPORT%GOBP%GO:0042886	AMIDE TRANSPORT%GOBP%GO:0042886	0.138845553822153	0.282040173612555
AMINE METABOLIC PROCESS%GOBP%GO:0009308	AMINE METABOLIC PROCESS%GOBP%GO:0009308	0.102964118564743	0.231442884202694
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME DATABASE ID RELEASE 80%71291	AMINO ACID AND DERIVATIVE METABOLISM%REACTOME DATABASE ID RELEASE 80%71291	8.12967016387452e-32	7.51562060894357e-30
AMINO ACID METABOLISM%WIKIPATHWAYS_20220510%WP3925%HOMO SAPIENS	AMINO ACID METABOLISM%WIKIPATHWAYS_20220510%WP3925%HOMO SAPIENS	0.560821484992101	0.727694228271037
AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:0003333	AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:0003333	0.912605042016807	0.964099150455931
AMINO ACID TRANSPORT%GOBP%GO:0006865	AMINO ACID TRANSPORT%GOBP%GO:0006865	0.378716744913928	0.563921952245037
AMINO ACIDS REGULATE MTORC1%REACTOME%R-HSA-9639288.2	AMINO ACIDS REGULATE MTORC1%REACTOME%R-HSA-9639288.2	0.0287062549650639	0.102152889290092
AMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006023	AMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006023	0.00292657203867538	0.0189845609894329
AMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0006022	AMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0006022	0.0177043413109695	0.0723662869201904
AMIODARONE ACTION PATHWAY%PATHWHIZ%PW000642	AMIODARONE ACTION PATHWAY%PATHWHIZ%PW000642	0.000382743012132917	0.00412659649557699
AMP-ACTIVATED PROTEIN KINASE (AMPK) SIGNALING%WIKIPATHWAYS_20220510%WP1403%HOMO SAPIENS	AMP-ACTIVATED PROTEIN KINASE (AMPK) SIGNALING%WIKIPATHWAYS_20220510%WP1403%HOMO SAPIENS	0.0138871898747864	0.060099442236999
AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.2	AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME%R-HSA-141424.2	0.39672131147541	0.579861125296358
AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 80%141444	AMPLIFICATION OF SIGNAL FROM UNATTACHED KINETOCHORES VIA A MAD2 INHIBITORY SIGNAL%REACTOME DATABASE ID RELEASE 80%141444	0.39672131147541	0.579861125296358
AMYLOID FIBER FORMATION%REACTOME%R-HSA-977225.6	AMYLOID FIBER FORMATION%REACTOME%R-HSA-977225.6	0.123244929797192	0.260456819050972
AMYLOID-BETA CLEARANCE%GOBP%GO:0097242	AMYLOID-BETA CLEARANCE%GOBP%GO:0097242	0.560553633217993	0.727694228271037
AMYOTROPHIC LATERAL SCLEROSIS (ALS)%WIKIPATHWAYS_20220510%WP2447%HOMO SAPIENS	AMYOTROPHIC LATERAL SCLEROSIS (ALS)%WIKIPATHWAYS_20220510%WP2447%HOMO SAPIENS	0.0114854909183607	0.0532218401930526
ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145	ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145	0.476190476190476	0.655175788368918
ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	0.0384615384615385	0.123789173789174
ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249	ANATOMICAL STRUCTURE HOMEOSTASIS%GOBP%GO:0060249	0.335203366058906	0.517024716196644
ANATOMICAL STRUCTURE MATURATION%GOBP%GO:0071695	ANATOMICAL STRUCTURE MATURATION%GOBP%GO:0071695	0.110754414125201	0.241288352075524
ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0009653	ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0009653	7.53597818604984e-06	0.000174169283076524
